operator_count,score,generation
2.0,0.53625,0
1.0,0.60625,0
2.0,0.5900000000000001,0
1.0,0.5875,0
2.0,0.75375,0
2.0,0.55625,0
2.0,0.52625,0
1.0,0.49874999999999997,0
1.0,0.6112500000000001,0
1.0,0.6649999999999999,0
1.0,0.6625,0
2.0,0.52625,0
2.0,0.50625,0
1.0,0.50875,0
1.0,0.56875,0
1.0,0.5287499999999999,0
1.0,0.49874999999999997,0
2.0,0.515,0
1.0,0.63,0
2.0,0.575,0
3.0,0.51875,1
2.0,0.50875,1
2.0,0.60875,1
2.0,0.5275000000000001,1
1.0,0.54,1
2.0,0.50875,1
2.0,0.5037499999999999,1
1.0,0.53125,1
1.0,0.58375,1
2.0,0.8425,1
2.0,0.5087499999999999,1
1.0,0.50625,1
1.0,0.60625,1
2.0,0.6199999999999999,1
3.0,0.84375,1
1.0,0.625,1
2.0,0.50875,1
1.0,0.49749999999999994,1
1.0,0.71875,1
2.0,0.52125,1
3.0,0.715,2
1.0,0.60625,2
1.0,0.60625,2
3.0,0.5137499999999999,2
1.0,0.60625,2
1.0,0.60625,2
1.0,0.60625,2
1.0,0.60625,2
2.0,0.53125,2
3.0,0.8425,2
1.0,0.60625,2
2.0,0.645,2
1.0,0.60625,2
2.0,0.54125,2
3.0,0.7375,2
2.0,0.61625,2
1.0,0.60625,2
2.0,0.515,2
1.0,0.60625,2
2.0,0.49749999999999994,2
2.0,0.8425,3
3.0,0.72625,3
2.0,0.7612500000000001,3
3.0,0.5325,3
1.0,0.60625,3
2.0,0.6599999999999999,3
2.0,0.52125,3
3.0,0.8425,3
2.0,0.8425,3
3.0,0.6587500000000001,3
3.0,0.5549999999999999,3
2.0,0.59875,3
3.0,0.7962499999999999,3
1.0,0.60625,3
3.0,0.63375,3
3.0,0.8425,3
1.0,0.60625,3
3.0,0.9225,3
3.0,0.8487500000000001,3
5000.0,-inf,3
1.0,0.63375,4
1.0,0.5475,4
3.0,0.9162500000000001,4
4.0,0.7337499999999999,4
2.0,0.60625,4
1.0,0.60625,4
3.0,0.9525,4
4.0,0.8237500000000001,4
3.0,0.9862500000000001,4
2.0,0.625,4
4.0,0.9337500000000001,4
2.0,0.8474999999999999,4
3.0,0.91875,4
1.0,0.5912499999999999,4
2.0,0.625,4
2.0,0.69625,4
2.0,0.625,4
3.0,0.9275,4
2.0,0.625,4
3.0,0.9225,4
3.0,0.8474999999999999,5
2.0,0.865,5
2.0,0.6575,5
4.0,0.9225,5
3.0,0.9387500000000001,5
3.0,0.95625,5
3.0,0.9637499999999999,5
4.0,0.905,5
2.0,0.825,5
2.0,0.8474999999999999,5
2.0,0.8825,5
2.0,0.6887500000000001,5
3.0,0.96,5
3.0,0.8474999999999999,5
2.0,0.8474999999999999,5
4.0,0.49624999999999997,5
2.0,0.6925000000000001,5
3.0,0.8474999999999999,5
2.0,0.8474999999999999,5
3.0,0.92875,5
3.0,0.915,6
4.0,0.5112500000000001,6
1.0,0.6475,6
3.0,0.9350000000000002,6
4.0,0.52,6
5000.0,-inf,6
4.0,0.9425000000000001,6
3.0,0.9225,6
3.0,0.9550000000000001,6
3.0,0.9225,6
3.0,0.96875,6
2.0,0.8525,6
5000.0,-inf,6
4.0,0.50625,6
5000.0,-inf,6
2.0,0.83125,6
2.0,0.8525,6
4.0,0.77125,6
2.0,0.6575000000000001,6
3.0,0.9350000000000002,6
1.0,0.675,7
5000.0,-inf,7
1.0,0.675,7
1.0,0.66125,7
1.0,0.675,7
4.0,0.5225000000000001,7
1.0,0.62875,7
2.0,0.8724999999999999,7
1.0,0.62875,7
2.0,0.54875,7
3.0,0.9662499999999999,7
1.0,0.62875,7
1.0,0.64125,7
3.0,0.95375,7
2.0,0.8724999999999999,7
3.0,0.97,7
1.0,0.62875,7
3.0,0.9199999999999999,7
3.0,0.99375,7
1.0,0.675,7
3.0,0.94625,8
3.0,0.9637499999999999,8
3.0,0.9637499999999999,8
3.0,0.93875,8
2.0,0.81875,8
2.0,0.8712500000000001,8
2.0,0.6875,8
3.0,0.9637499999999999,8
4.0,0.9550000000000001,8
2.0,0.8712500000000001,8
3.0,0.95625,8
1.0,0.675,8
1.0,0.675,8
2.0,0.8799999999999999,8
2.0,0.87375,8
3.0,0.96125,8
4.0,0.86,8
1.0,0.78625,8
2.0,0.8712500000000001,8
1.0,0.58625,8
3.0,0.8162500000000001,9
2.0,0.8512500000000001,9
3.0,0.87375,9
2.0,0.80625,9
2.0,0.8724999999999999,9
3.0,0.5075000000000001,9
3.0,0.9037499999999999,9
2.0,0.8212499999999998,9
3.0,0.9024999999999999,9
2.0,0.59375,9
2.0,0.8387500000000001,9
3.0,0.8275,9
3.0,0.5625,9
2.0,0.80625,9
3.0,0.7787499999999999,9
2.0,0.6525000000000001,9
3.0,0.86875,9
3.0,0.7549999999999999,9
2.0,0.87625,9
3.0,0.88125,9
4.0,0.9324999999999999,10
2.0,0.6725,10
4.0,0.9324999999999999,10
3.0,0.5449999999999999,10
4.0,0.9324999999999999,10
3.0,0.5075000000000001,10
3.0,0.5075000000000001,10
2.0,0.6725,10
4.0,0.50375,10
2.0,0.6725,10
4.0,0.50375,10
4.0,0.8,10
4.0,0.50375,10
4.0,0.50375,10
2.0,0.86875,10
4.0,0.9324999999999999,10
2.0,0.6725,10
4.0,0.8949999999999999,10
2.0,0.8799999999999999,10
4.0,0.9324999999999999,10
3.0,0.9037499999999999,11
4.0,0.985,11
5.0,0.9324999999999999,11
4.0,0.8074999999999999,11
5.0,0.5137499999999999,11
3.0,0.9037499999999999,11
5.0,0.9324999999999999,11
4.0,0.9324999999999999,11
3.0,0.88125,11
3.0,0.88125,11
4.0,0.9324999999999999,11
6.0,0.50375,11
6.0,0.50375,11
3.0,0.88125,11
4.0,0.9324999999999999,11
3.0,0.605,11
5.0,0.73125,11
6.0,0.50375,11
4.0,0.8074999999999999,11
6.0,0.47750000000000004,11
3.0,0.9724999999999999,12
3.0,0.9724999999999999,12
3.0,0.9724999999999999,12
5.0,0.985,12
5.0,0.985,12
3.0,0.9724999999999999,12
3.0,0.9724999999999999,12
3.0,0.9724999999999999,12
3.0,0.9724999999999999,12
3.0,0.9724999999999999,12
4.0,0.9612499999999999,12
3.0,0.9724999999999999,12
3.0,0.9724999999999999,12
3.0,0.9037499999999999,12
2.0,0.9637499999999999,12
3.0,0.9724999999999999,12
3.0,0.9724999999999999,12
3.0,0.9724999999999999,12
3.0,0.9724999999999999,12
6.0,0.47750000000000004,12
1.0,0.8787499999999999,13
3.0,0.49624999999999997,13
4.0,0.50625,13
2.0,0.9637499999999999,13
4.0,0.50625,13
1.0,0.8787499999999999,13
4.0,0.50625,13
3.0,0.9724999999999999,13
2.0,0.9637499999999999,13
3.0,0.49624999999999997,13
3.0,0.49624999999999997,13
4.0,0.50625,13
4.0,0.50625,13
1.0,0.8787499999999999,13
3.0,0.9724999999999999,13
2.0,0.8425,13
1.0,0.8787499999999999,13
2.0,0.8425,13
3.0,0.9600000000000002,13
3.0,0.49624999999999997,13
3.0,0.83125,14
3.0,0.9487500000000001,14
2.0,0.95625,14
3.0,0.9650000000000001,14
2.0,0.9375,14
2.0,0.9700000000000001,14
2.0,0.9524999999999999,14
2.0,0.9625,14
3.0,0.9625,14
2.0,0.9,14
3.0,0.9974999999999999,14
3.0,0.9512499999999999,14
2.0,0.9700000000000001,14
2.0,0.9700000000000001,14
3.0,0.52625,14
3.0,0.9625,14
3.0,0.9875,14
2.0,0.61125,14
3.0,0.9637499999999999,14
2.0,0.9524999999999999,14
3.0,0.99375,15
4.0,0.9925,15
3.0,0.99375,15
4.0,0.9925,15
4.0,0.52125,15
3.0,0.99375,15
3.0,0.99375,15
3.0,0.99375,15
2.0,0.9775,15
3.0,0.5037499999999999,15
3.0,0.99375,15
3.0,0.99375,15
4.0,0.9925,15
3.0,0.99375,15
3.0,0.99375,15
3.0,0.5037499999999999,15
4.0,0.9925,15
3.0,0.5037499999999999,15
3.0,0.5037499999999999,15
4.0,0.9925,15
